"","PDescription","TPM_Basal"
"3972","SAM domain (Sterile alpha motif) domain containing protein",1.77
"3973","protein kinase",11.85
"3974","SAM domain (Sterile alpha motif) domain containing protein",7.07
"3975","hypothetical protein",4.23
"3976","hypothetical protein",102.19
"3977","leucine rich repeat-containing protein",5.82
"3978","phospholipidtranslocating P-type ATPase",1.75
"3979","non-specific serine/threonine protein kinase",4.84
"3980","ribosomal L40e family",2648.77
"3981","HCaRG protein",64.82
"3982","eIF5A, putative",15.46
"3983","AIG2 family protein",16
"3984","serpin",1.21
"3985","saccharopine dehydrogenase",150.32
"3986","hypothetical protein",67.19
"3987","oxidoreductase, short chain dehydrogenase/reductase superfamily protein",24.04
"3988","hypothetical protein",32.25
"3989","hypothetical protein",5.6
"3990","ABC transporter, ATPbinding domain containing protein",194.29
"3991","hypothetical protein",3.93
"3992","serine/threonine kinase",1.98
"3993","hypothetical protein",12.42
"3994","hypothetical protein",0.19
"3995","peroxidase, putative",0.44
"3996","hypothetical protein",6.69
"3997","leucine rich repeat domain containing protein",4.89
"3998","serine/threonine kinase",3.5
"3999","WD domain, G-beta repeat-containing protein",4.98
"4000","Mannosyl oligosaccharide glucosidase",14.93
"4001","Prokumamolisin, activation domain containing protein",2.02
"4002","copine, putative",0.89
"4003","hypothetical protein",0.08
"4004","methyltransferase, putative",52.54
"4005","permease (major facilitator superfamily) protein",16.26
"4006","permease (Major facilitator superfamily) protein, putative",24.88
"4007","ammonium transporter subfamily protein",44.51
"4008","hypothetical protein",24.75
"4009","oxidoreductase, short chain dehydrogenase/reductase superfamily protein",1.81
"4010","metallophosphoesterase",73.33
"4011","hypothetical protein",8.37
"4012","transporter, major intrinsic protein (MIP) superfamily protein",8.16
"4013","RasGEF domain containing protein",30.64
"4014","ubiquitin specific protease 44 isoform 2, putative",49.62
"4015","SYS1 integral membrane protein, putative",11.52
"4016","hypothetical protein",1.3
"4017","hypothetical protein",7.54
"4018","hypothetical protein",11.29
"4019","hypothetical protein",11.36
"4020","RNA methyltransferase",20.99
"4021","spindle pole body interacting protein",35.66
"4022","hypothetical protein",7.46
"4023","Putative transcriptional regulator cudA",47.89
"4024","opioid growth factor receptor (ogfr) region protein, putative",23.51
"4025","RhoGEF domain containing protein",41.81
"4026","ABC transporter, ATPbinding domain containing protein",30.68
"4027","hypothetical protein",7.81
"4028","Histone-lysine N-methyltransferase",7.27
"4029","hypothetical protein",4.41
"4030","serine/threonine kinase",2.34
"4031","hypothetical protein",2.87
"4032","PH domain containing protein",13.04
"4033","hypothetical protein",0.01
"4034","glutathione transferase family protein",4
"4035","hypothetical protein",37.53
"4036","hypothetical protein",123.24
"4037","hypothetical protein",757.63
"4038","hypothetical protein",2028.24
"4039","hypothetical protein",0.63
"4040","hypothetical protein",20.86
"4041","methenyltetrahydrofolate cyclohydrolase",9.42
"4042","survival protein SurE subfamily protein",24.39
"4043","hypothetical protein",5.2
"4044","ankyrin repeat-containing protein",9.22
"4045","dolichylphosphate mannosyltransferase polypeptide 2, putative",18.25
"4046","hypothetical protein",33.42
"4047","cholinesterase",11.81
"4048","hypothetical protein",4.86
"4049","hypothetical protein",2.25
"4050","diaminopimelate epimerase",9.43
"4051","transporter, major facilitator subfamily protein",11.68
"4052","NmrA family protein",3.28
"4053","hypothetical protein",0.03
"4054","ABC2 type transporter superfamily protein",3.15
"4055","cell division control protein 42, putative",15.86
"4056","hypothetical protein",139.24
"4057","hypothetical protein",0.19
"4058","hypothetical protein",6.35
"4059","DRAP deaminase",9.1
"4060","WDrepeat protein",6.83
"4061","diacylglycerol kinase accessory domain containing protein",3.91
"4062","NAD-dependent epimerase/dehydratase family protein",150.15
"4063","Fbox domain containing protein",18.94
"4064","hypothetical protein",2.45
"4065","hypothetical protein",3.77
"4066","Fbox domain containing protein",0.63
"4067","metal cation transporter, ZIP subfamily protein",0.67
"4068","aspartyl-tRNA synthetase",9.56
"4069","Flavinbinding monooxygenase-like subfamily protein",159.85
"4070","hypothetical protein",5.53
"4071","hypothetical protein",2
"4072","SAP domain containing protein",7.2
"4073","glycine-tRNA ligase",25.64
"4074","IMP2 inner mitochondrial membrane protease family isoform 2, putative",13.89
"4075","cytochrome p450 superfamily protein",24.23
"4076","GTPase activation domain containing protein",1.45
"4077","ABC transporter",23.94
"4078","hypothetical protein",10.44
"4079","Fbox/LRR-repeat protein",6.15
"4080","Armadillo/betacatenin-like repeat domain containing protein",5.68
"4081","KOW motif domain containing protein",16.85
"4082","flavinnucleotide-binding protein",131.2
"4083","hypothetical protein",165.1
"4084","hypothetical protein",11.21
"4085","serine/threonine kinase",16.82
"4086","hypothetical protein",12.38
"4087","hypothetical protein",33.42
"4088","asparaginase/glutaminase",11.92
"4089","translation initiation inhibitor, putative",0.08
"4090","serine/threonine kinase",0.17
"4091","hypothetical protein",36.89
"4092","serine/threonine kinase",1.17
"4093","translation initiation inhibitor, putative",0.81
"4094","hypothetical protein",23.68
"4095","Synapsin, putative",3.21
"4096","zinc finger, C3HC4 type (RING finger) domain containing protein",7.49
"4097","serine/threonine kinase",2.47
"4098","hypothetical protein",0.57
"4099","hypothetical protein",0.34
"4100","hypothetical protein",3.2
"4101","PH domain containing protein",19.67
"4102","PH domain containing protein",9.3
"4103","sensory transduction histidine kinase, putative",42.37
"4104","COP1, putative",7.49
"4105","DNA topoisomerase",13.27
"4106","5'-nucleotidase",15.49
"4107","serine/threonine kinase",25.77
"4108","inosineuridine preferring nucleoside hydrolase family protein",334.36
"4109","glycosyltransferase, putative",6.79
"4110","Serine/threonine phosphatase",158.17
"4111","hypothetical protein",0.52
"4112","Chromatin Organization Modifier domain containing protein",3.76
"4113","hypothetical protein",64.5
"4114","von Willebrand factor type A domain containing protein",84.97
"4115","hypothetical protein",112.13
"4116","leucine rich repeat domain containing protein",9.4
"4117","hypothetical protein",24.43
"4118","PH domain containing protein",17.54
"4119","hypothetical protein",1.89
"4120","haloacid dehalogenase (HAD) superfamily protein",38.43
"4121","complex 1 protein (lyr family) protein",34.22
"4122","splicing factor 3a subunit 2, putative",60.08
"4123","hypothetical protein",9.64
"4124","copine subfamily protein",10.15
"4125","hypothetical protein",1.26
"4126","hypothetical protein",22.22
"4127","hypothetical protein",1.98
"4128","DNAdependent RNA polymerase",30.63
"4129","dynactin 4 isoform 2, putative",26.5
"4130","Prokumamolisin, activation domain containing protein",23.26
"4131","methyltransferase domain containing protein",5.99
"4132","PH domain containing protein",0.25
"4133","leucine-tRNA ligase",105.98
"4134","ankyrin repeat-containing protein",33.81
"4135","6phosphogluconate dehydrogenase NAD-binding domain containing protein",43.58
"4136","ubiquitin carboxyl-terminal hydrolase",8.79
"4137","WD domain, G-beta repeat-containing protein",1.3
"4138","66-kDa stress protein p66, putative",35.66
"4139","hypothetical protein",1.69
"4140","Actininteracting protein, putative",0.62
"4141","hypothetical protein",0.16
"4142","rac-alpha serine/threonine kinase family protein",2.2
"4143","hypothetical protein",6.66
"4144","EF hand domain containing protein",0.27
"4145","hypothetical protein",0.04
"4146","kelch repeat-containing protein",0.04
"4147","hypothetical protein",0.04
"4148","RhoGEF domain containing protein",8.26
"4149","hypothetical protein",3.47
"4150","hypothetical protein",2.12
"4151","hypothetical protein",19.75
"4152","hypothetical protein",0.34
"4153","hypothetical protein",0.49
"4154","hypothetical protein",24.22
"4155","hypothetical protein",22.19
"4156","serine/threonine dehydratase",21.58
"4157","CBS domain containing protein",4.38
"4158","PH domain containing protein",42.3
"4159","zinc finger family protein",35.68
"4160","proteintyrosine-phosphatase",192.48
"4161","hypothetical protein",21.36
"4162","RhoGAP domain containing protein",2.1
"4163","hypothetical protein",5.31
"4164","fascin subfamily protein",3.18
"4165","hypothetical protein",8.46
"4166","MYND finger domain containing protein",18.29
"4167","RhoGEF domain containing protein",0.39
"4168","countin family protein",0.14
"4169","BTB/POZ domain containing protein",6.13
"4170","OsmC family protein",4.8
"4171","hypothetical protein",18.43
"4172","peroxidase",28.89
"4173","peroxidase",1.85
"4174","PPOD2 peroxidase",6.99
"4175","phorbol esters/diacylglycerol binding domain (c1 domain) domain containing protein",3.98
"4176","villin headpiece domain containing protein",4.44
"4177","hypothetical protein",2.83
"4178","GTPase activating protein Sar1, putative",9.25
"4179","hypothetical protein",7.36
"4180","hypothetical protein",0.04
"4181","GTP cyclohydrolase, putative",6.49
"4182","hypothetical protein",3.4
"4183","hypothetical protein",0.3
"4184","BTB/POZ domain containing protein",3.45
"4185","chromatin assembly factor 1, putative",2.27
"4186","Aldehyde dehydrogenase, putative",1.86
"4187","hypothetical protein",0.34
"4188","hypothetical protein",0.01
"4189","aldehyde dehydrogenase",0.81
"4190","hypothetical protein",0.78
"4191","hypothetical protein",0.09
"4192","hypothetical protein",1.73
"4193","phosphate ABC transporter, periplasmic phosphatebinding protein",1.08
"4194","signal peptide peptidase, putative",61
"4195","hypothetical protein",2.18
"4196","hypothetical protein",1.74
"4197","hypothetical protein",0.23
"4198","hypothetical protein",0.05
"4199","hydrolase, TatD family protein",0.17
"4200","hypothetical protein",9
"4201","hypothetical protein",0.44
"4202","RNA ligase (ATP), putative",1.82
"4203","hypothetical protein",0.96
"4204","hypothetical protein",10.89
"4205","Fbox domain containing protein",0.81
"4206","hypothetical protein",1.47
"4207","Proteasome/cyclosome repeat containing protein",80.13
"4208","hypothetical protein",14.96
"4209","protein kinase domain containing protein",15.26
"4210","protein kinase domain containing protein",26
"4211","deoxyuridine 5'-triphosphate nucleotidohydrolase",164.62
"4212","RFX DNAbinding domain containing protein",0.59
"4213","hypothetical protein",0.44
"4214","eukaryotic porin protein",1602.3
"4215","ARID/BRIGHT DNA binding domain containing protein",12.09
"4216","hypothetical protein",38.18
"4217","phytanoylCoA dioxygenase family protein",46.54
"4218","hypothetical protein",7.41
"4219","leucine rich repeat domain containing protein",29.46
"4220","HEAT repeat domain containing protein",45.49
"4221","DNA replication licensing factor mcm4, putative",8.54
"4222","hypothetical protein",10.74
"4223","Dual specificity protein kinase",38.1
"4224","hypothetical protein",3.93
"4225","protein kinase",19.18
"4226","hypothetical protein",10.66
"4227","cation efflux family superfamily protein",12.75
"4228","hypothetical protein",68.74
"4229","WD domain, Gbeta repeat containing protein",13.1
"4230","phosphoribosylaminoimidazole carboxylase, ATPase subunit",49.78
"4231","hypothetical protein",0.06
"4232","hypothetical protein",13.76
"4233","hypothetical protein",26.02
"4234","Myblike DNA-binding domain containing protein",24.28
"4235","Fbox domain containing protein",8.59
"4236","glyoxylate reductase",136.02
"4237","hypothetical protein",3.48
"4238","hypothetical protein",5.92
"4239","Kelch repeat containing MAP kinase",13.6
"4240","tetratricopeptide repeat domain containing protein",58.22
"4241","regulation of nuclear premRNA domain containing 1B, putative",18.88
"4242","Ser/Thr phosphatase family protein, putative",50.51
"4243","proteasome 26S subunit, putative",59.52
"4244","ubiquinone biosynthesis protein AarF family protein, putative",25.52
"4245","DNAdirected DNA polymerase subunit, putative",11.3
"4246","hypothetical protein",8.65
"4247","exoribonuclease II",8.56
"4248","hypothetical protein",6.4
"4249","EF hand domain containing protein",19.99
"4250","FHA domain containing protein",35.16
"4251","ATPase, AAA domain containing protein",7.22
"4252","integral membrane protein",37.2
"4253","PH domain containing protein",18.86
"4254","hypothetical protein",14.79
"4255","ATPdependent metallopeptidase HflB subfamily protein",47.18
"4256","RasGEF domain containing protein",3.19
"4257","transporter, major facilitator subfamily protein",1.84
"4258","nucleoside diphosphate, putative",20.54
"4259","Ubiquitinconjugating enzyme subfamily protein",12.78
"4260","RhoGEF domain containing protein",1.53
"4261","RhoGEF domain containing protein",5.35
"4262","Ser/Thr phosphatase family protein",88.03
"4263","PB1 domain containing protein",8.09
"4264","hypothetical protein",3.03
"4265","hypothetical protein",1.57
"4266","kinase, putative",11.56
"4267","hypothetical protein",2.97
"4268","hypothetical protein",143.27
"4269","RhoGEF domain containing protein",7.49
"4270","C2 domain containing protein",14.54
"4271","Zn-finger in ubiquitin-hydrolases and other protein",32.97
"4272","hypothetical protein",49.6
"4273","carrier superfamily protein",4.5
"4274","hypothetical protein",0.61
